seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr8	143753110	143753130	21	*	X6323	8629	143738874	143751401	12528	-	1708	upstream	1708	JRK
chr8	144242148	144242218	71	*	X6334	4062	144239331	144242053	2723	-	94	upstream	94	LY6H
chr8	144243317	144243436	120	*	X6335	4062	144239331	144242053	2723	-	1263	upstream	1263	LY6H
chr8	144790511	144790630	120	*	X6346	100130274	144788864	144790279	1416	-	231	upstream	231	CCDC166
chr8	144923800	144923919	120	*	X6348	340371	144915755	144924200	8446	-	0	inside	280	NRBP2
chr8	145912162	145912701	540	*	X6358	80728	145754563	145911194	156632	-	967	upstream	967	ARHGAP39
chr8	145912747	145912843	97	*	X6359	80728	145754563	145911194	156632	-	1552	upstream	1552	ARHGAP39
chr8	145913080	145913436	357	*	X6360	80728	145754563	145911194	156632	-	1885	upstream	1885	ARHGAP39
chr8	146177093	146177182	90	*	X6394	7564	146155744	146176274	20531	-	818	upstream	818	ZNF16
chr8	146226260	146226384	125	*	X6403	286103	146228197	146231432	3236	+	1812	upstream	1812	ZNF252P-AS1
chr8	146276927	146277061	135	*	X6406	65265	146277824	146281416	3593	+	762	upstream	762	C8orf33
chr9	96966586	96966720	135	*	X6545	158257	96938852	96966848	27997	-	0	inside	127	LINC02603
chr9	104162495	104162584	90	*	X6573	54534	104151122	104160919	9798	-	1575	upstream	1575	MRPL50
chr9	115774190	115774354	165	*	X6594	169834	115759400	115774472	15073	-	0	inside	117	ZNF883
chr9	115774896	115775015	120	*	X6595	169834	115759400	115774472	15073	-	423	upstream	423	ZNF883
chr9	116111795	116111949	155	*	X6600	54836	116111812	116133513	21702	+	0	overlapStart	0	BSPRY
chr9	116112025	116112084	60	*	X6601	54836	116111812	116133513	21702	+	0	inside	212	BSPRY
chr9	130211758	130211877	120	*	X6638	26783	130210781	130210916	136	-	841	upstream	841	SNORA65
chr9	130211758	130211877	120	*	X6638	90678	130213765	130265780	52016	+	1887	upstream	1887	LRSAM1
chr9	134615748	134615881	134	*	X6655	2889	134452157	134615217	163061	-	530	upstream	530	RAPGEF1
chr9	137743055	137743159	105	*	X6672	100500846	137741021	137742490	1470	-	564	upstream	564	MIR3689A
chr9	137743055	137743159	105	*	X6672	100500906	137741971	137742118	148	-	936	upstream	936	MIR3689B
chr9	137743055	137743159	105	*	X6672	100616131	137741455	137741528	74	-	1526	upstream	1526	MIR3689D1
chr9	137743055	137743159	105	*	X6672	100616212	137742588	137742653	66	-	401	upstream	401	MIR3689F
chr9	137743055	137743159	105	*	X6672	100616333	137741144	137741215	72	-	1839	upstream	1839	MIR3689C
chr9	137743055	137743159	105	*	X6672	100616344	137742123	137742202	80	-	852	upstream	852	MIR3689D2
chr9	137743055	137743159	105	*	X6672	100616460	137742416	137742487	72	-	567	upstream	567	MIR3689E
chr9	138453282	138453416	135	*	X6680	5047	138453604	138458622	5019	+	187	upstream	187	PAEP
chr9	138453766	138453862	97	*	X6681	5047	138453604	138458622	5019	+	0	inside	161	PAEP
chrX	54555689	54555778	90	*	X6752	54552	54556644	54593720	37077	+	865	upstream	865	GNL3L
chrX	73507389	73507508	120	*	X6761	442919	73507121	73507192	72	-	196	upstream	196	MIR374A
chrX	73507389	73507508	120	*	X6761	664614	73506939	73507044	106	-	344	upstream	344	MIR545
